	[1, 1]	[1, 2]	[1, 3]	[1, 4]	[1, 5]	[1, 6]	[1, 7]	[1, 8]	[1, 9]	[1, 10]	[2, 1]	[2, 2]	[2, 3]	[2, 4]	[2, 5]	[2, 6]	[2, 7]	[2, 8]	[2, 9]	[2, 10]	[3, 1]	[3, 2]	[3, 3]	[3, 4]	[3, 5]	[3, 6]	[3, 7]	[3, 8]	[3, 9]	[3, 10]	[4, 1]	[4, 2]	[4, 3]	[4, 4]	[4, 5]	[4, 6]	[4, 7]	[4, 8]	[4, 9]	[4, 10]	[5, 1]	[5, 2]	[5, 3]	[5, 4]	[5, 5]	[5, 6]	[5, 7]	[5, 8]	[5, 9]	[5, 10]	[6, 1]	[6, 2]	[6, 3]	[6, 4]	[6, 5]	[6, 6]	[6, 7]	[6, 8]	[6, 9]	[6, 10]	[7, 1]	[7, 2]	[7, 3]	[7, 4]	[7, 5]	[7, 6]	[7, 7]	[7, 8]	[7, 9]	[7, 10]	[8, 1]	[8, 2]	[8, 3]	[8, 4]	[8, 5]	[8, 6]	[8, 7]	[8, 8]	[8, 9]	[8, 10]	[9, 1]	[9, 2]	[9, 3]	[9, 4]	[9, 5]	[9, 6]	[9, 7]	[9, 8]	[9, 9]	[9, 10]	[10, 1]	[10, 2]	[10, 3]	[10, 4]	[10, 5]	[10, 6]	[10, 7]	[10, 8]	[10, 9]	[10, 10]
Running: [1, 1]	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	48	16	120	8	32	0	0	0	24	16	144	128	456	68	8	0	0	24	48	128	456	68	76	8	8	0	0	16	128	76	64	16	8	0	0	0	48	144	456	64	24	0	16	8	0	0	16	128	68	16	0	0	0	0	8	24	120	456	76	8	16	0	16	0	0	0	8	68	8	0	8	0	0	0	0	0	32	8	8	0	0	8	0	0	0
Running: [1, 2]	0	0	0	0	0	48	16	120	8	32	0	0	0	48	32	290	16	20	48	152	0	0	48	242	48	92	48	48	92	76	0	48	242	160	20	24	40	116	32	72	0	32	48	20	16	44	70	68	36	24	48	290	92	24	44	152	44	166	72	20	16	16	48	40	70	44	2	40	40	64	120	20	48	116	68	166	40	132	38	6	8	48	92	32	36	72	40	38	0	0	32	152	76	72	24	20	64	6	0	0
Running: [1, 3]	0	0	0	24	16	144	128	456	68	8	0	0	48	242	48	92	48	48	92	76	0	48	36	136	132	48	128	20	84	36	24	242	136	96	52	1	34	28	58	18	16	48	132	52	0	32	8	42	68	24	144	92	48	1	32	164	58	52	24	32	128	48	128	34	8	58	8	9	16	22	456	48	20	28	42	52	9	52	151	8	68	92	84	58	68	24	16	151	16	4	8	76	36	18	24	32	22	8	4	120
Running: [1, 4]	0	0	24	48	128	456	68	76	8	8	0	48	242	160	20	24	40	116	32	72	24	242	136	96	52	1	34	28	58	18	48	160	96	60	128	20	88	68	48	64	128	20	52	128	44	1	18	10	8	20	456	24	1	20	1	20	16	48	8	2	68	40	34	88	18	16	8	48	4	0	76	116	28	68	10	48	48	88	26	0	8	32	58	48	8	8	4	26	0	120	8	72	18	64	20	2	0	0	120	188
Running: [1, 5]	0	0	16	128	76	64	16	8	0	0	0	32	48	20	16	44	70	68	36	24	16	48	132	52	0	32	8	42	68	24	128	20	52	128	44	1	18	10	8	20	76	16	0	44	12	24	0	0	8	4	64	44	32	1	24	64	18	16	32	12	16	70	8	18	0	18	0	20	4	12	8	68	42	10	0	16	20	68	13	124	0	36	68	8	8	32	4	13	120	180	0	24	24	20	4	12	12	124	180	90
Running: [1, 6]	0	48	144	456	64	24	0	16	8	0	48	290	92	24	44	152	44	166	72	20	144	92	48	1	32	164	58	52	24	32	456	24	1	20	1	20	16	48	8	2	64	44	32	1	24	64	18	16	32	12	24	152	164	20	64	12	0	2	32	64	0	44	58	16	18	0	0	0	4	140	16	166	52	48	16	2	0	32	152	189	8	72	24	8	32	32	4	152	188	90	0	20	32	2	12	64	140	189	90	0
Running: [1, 7]	0	16	128	68	16	0	0	0	0	8	16	16	48	40	70	44	2	40	40	64	128	48	128	34	8	58	8	9	16	22	68	40	34	88	18	16	8	48	4	0	16	70	8	18	0	18	0	20	4	12	0	44	58	16	18	0	0	0	4	140	0	2	8	8	0	0	0	0	120	188	0	40	9	48	20	0	0	120	196	122	0	40	16	4	4	4	120	196	90	4	8	64	22	0	12	140	188	122	4	0
Running: [1, 8]	24	120	456	76	8	16	0	16	0	0	120	20	48	116	68	166	40	132	38	6	456	48	20	28	42	52	9	52	151	8	76	116	28	68	10	48	48	88	26	0	8	68	42	10	0	16	20	68	13	124	16	166	52	48	16	2	0	32	152	189	0	40	9	48	20	0	0	120	196	122	16	132	52	88	68	32	120	180	90	32	0	38	151	26	13	152	196	90	0	0	0	6	8	0	124	189	122	32	0	0
Running: [1, 9]	0	8	68	8	0	8	0	0	0	0	8	48	92	32	36	72	40	38	0	0	68	92	84	58	68	24	16	151	16	4	8	32	58	48	8	8	4	26	0	120	0	36	68	8	8	32	4	13	120	180	8	72	24	8	32	32	4	152	188	90	0	40	16	4	4	4	120	196	90	4	0	38	151	26	13	152	196	90	0	0	0	0	16	0	120	188	90	0	0	0	0	0	4	120	180	90	4	0	0	0
Running: [1, 10]	0	32	8	8	0	0	8	0	0	0	32	152	76	72	24	20	64	6	0	0	8	76	36	18	24	32	22	8	4	120	8	72	18	64	20	2	0	0	120	188	0	24	24	20	4	12	12	124	180	90	0	20	32	2	12	64	140	189	90	0	8	64	22	0	12	140	188	122	4	0	0	6	8	0	124	189	122	32	0	0	0	0	4	120	180	90	4	0	0	0	0	0	120	188	90	0	0	0	0	0
